presvote20post,birthyr,gender4,educ,race,urbancity,religpew,gunown,edloan,vote_choice,age,gender,education,race_group,location
2,1953,1,3,1,4,12,2,2,republican,69,male,some college,white,other
2,1961,1,3,1,4,12,8,2,republican,61,male,some college,white,other
2,1950,1,4,1,3,2,3,2,republican,72,male,some college,white,rural
5,1978,2,5,1,3,2,3,2,did not vote,44,female,college graduate,white,rural
2,1943,1,3,1,2,1,3,2,republican,79,male,some college,white,suburban
1,1986,2,2,1,4,12,3,2,democrat,36,female,high school or less,white,other
6,1989,2,4,1,2,10,3,2,other,33,female,some college,white,suburban
1,1998,2,5,1,2,5,3,1,democrat,24,female,college graduate,white,suburban
1,1970,2,6,1,4,5,2,2,democrat,52,female,postgraduate,white,other
1,1990,2,5,2,2,1,3,1,democrat,32,female,college graduate,black,suburban
2,1968,2,3,1,1,2,2,2,republican,54,female,some college,white,urban
6,1957,2,2,2,2,12,3,2,other,65,female,high school or less,black,suburban
2,1998,2,4,1,2,2,2,2,republican,24,female,some college,white,suburban
6,1989,2,4,3,1,2,8,2,other,33,female,some college,hispanic,urban
2,1949,1,5,1,3,1,1,2,republican,73,male,college graduate,white,rural
1,1987,2,3,1,2,10,1,1,democrat,35,female,some college,white,suburban
6,1997,2,3,5,4,12,3,1,other,25,female,some college,other,other
1,1951,2,2,2,4,1,NA,NA,democrat,71,female,high school or less,black,other
1,1968,2,5,1,4,10,2,2,democrat,54,female,college graduate,white,other
2,1933,2,2,1,3,3,3,2,republican,89,female,high school or less,white,rural
2,1964,2,2,1,4,1,2,2,republican,58,female,high school or less,white,other
1,1988,3,2,6,2,9,3,2,democrat,34,non-binary,high school or less,other,suburban
1,1963,2,6,1,3,11,3,2,democrat,59,female,postgraduate,white,rural
6,1982,2,6,4,2,8,3,2,other,40,female,postgraduate,asian,suburban
2,1952,2,3,1,3,1,1,2,republican,70,female,some college,white,rural
1,1947,2,3,2,1,1,3,2,democrat,75,female,some college,black,urban
2,1987,2,4,1,3,1,1,2,republican,35,female,some college,white,rural
3,1989,2,3,1,4,1,1,2,did not vote,33,female,some college,white,other
2,1974,1,3,1,4,11,1,2,republican,48,male,some college,white,other
1,1976,2,4,1,3,9,3,1,democrat,46,female,some college,white,rural
1,1960,1,4,1,3,11,1,2,democrat,62,male,some college,white,rural
2,1965,2,6,1,2,1,3,1,republican,57,female,postgraduate,white,suburban
6,1997,1,5,3,2,9,3,1,other,25,male,college graduate,hispanic,suburban
1,1950,2,2,1,3,11,2,2,democrat,72,female,high school or less,white,rural
2,1976,1,4,1,3,10,3,2,republican,46,male,some college,white,rural
2,1961,1,4,1,4,1,8,2,republican,61,male,some college,white,other
2,1958,1,2,1,4,1,8,2,republican,64,male,high school or less,white,other
1,1967,1,4,1,3,9,1,2,democrat,55,male,some college,white,rural
1,1951,2,4,3,2,7,3,2,democrat,71,female,some college,hispanic,suburban
1,1949,1,4,1,2,10,1,2,democrat,73,male,some college,white,suburban
2,1967,1,4,7,2,1,1,2,republican,55,male,some college,other,suburban
1,1955,2,3,6,3,11,3,2,democrat,67,female,some college,other,rural
1,1968,2,5,1,2,12,1,1,democrat,54,female,college graduate,white,suburban
1,1967,1,3,1,2,10,3,2,democrat,55,male,some college,white,suburban
1,1987,2,5,1,2,11,3,2,democrat,35,female,college graduate,white,suburban
5,1999,1,2,6,2,11,NA,NA,did not vote,23,male,high school or less,other,suburban
2,1990,1,1,1,1,12,3,2,republican,32,male,high school or less,white,urban
1,1993,2,6,1,2,1,3,1,democrat,29,female,postgraduate,white,suburban
1,1980,1,4,1,2,12,1,1,democrat,42,male,some college,white,suburban
6,1983,2,1,1,3,11,3,2,other,39,female,high school or less,white,rural
1,1969,1,5,1,1,12,3,2,democrat,53,male,college graduate,white,urban
1,1948,2,2,1,3,2,3,2,democrat,74,female,high school or less,white,rural
2,1969,2,5,1,2,1,2,2,republican,53,female,college graduate,white,suburban
1,1957,2,3,1,2,10,2,2,democrat,65,female,some college,white,suburban
1,1939,2,2,1,1,2,3,2,democrat,83,female,high school or less,white,urban
1,1958,1,3,1,1,2,3,2,democrat,64,male,some college,white,urban
2,1964,2,3,1,2,2,1,2,republican,58,female,some college,white,suburban
1,1963,1,6,2,2,11,3,1,democrat,59,male,postgraduate,black,suburban
1,2001,1,3,2,2,1,3,2,democrat,21,male,some college,black,suburban
2,1970,2,6,1,2,1,2,2,republican,52,female,postgraduate,white,suburban
1,1958,1,4,1,4,12,1,2,democrat,64,male,some college,white,other
1,1994,2,6,2,2,1,NA,NA,democrat,28,female,postgraduate,black,suburban
2,1949,2,3,1,2,1,3,2,republican,73,female,some college,white,suburban
1,1999,2,6,4,1,9,3,2,democrat,23,female,postgraduate,asian,urban
1,1976,2,4,1,2,10,3,2,democrat,46,female,some college,white,suburban
2,1997,2,5,1,1,2,NA,NA,republican,25,female,college graduate,white,urban
2,1957,2,4,1,4,1,1,2,republican,65,female,some college,white,other
1,2001,1,3,1,2,9,3,1,democrat,21,male,some college,white,suburban
1,1955,1,2,1,1,1,1,2,democrat,67,male,high school or less,white,urban
2,1966,1,2,1,1,1,3,2,republican,56,male,high school or less,white,urban
1,1938,1,4,3,1,2,NA,NA,democrat,84,male,some college,hispanic,urban
6,1983,1,4,1,2,4,NA,NA,other,39,male,some college,white,suburban
2,1949,1,6,1,4,11,1,2,republican,73,male,postgraduate,white,other
1,1996,2,4,1,3,2,1,2,democrat,26,female,some college,white,rural
1,1969,2,6,7,2,11,2,2,democrat,53,female,postgraduate,other,suburban
2,1956,2,3,1,4,1,2,2,republican,66,female,some college,white,other
1,1957,2,3,2,2,1,1,2,democrat,65,female,some college,black,suburban
2,1974,2,6,7,2,11,2,1,republican,48,female,postgraduate,other,suburban
1,1997,2,2,2,1,1,1,1,democrat,25,female,high school or less,black,urban
6,1996,1,2,1,2,7,3,2,other,26,male,high school or less,white,suburban
1,1951,2,4,1,4,11,2,2,democrat,71,female,some college,white,other
1,1948,1,6,1,2,9,3,2,democrat,74,male,postgraduate,white,suburban
2,1970,1,3,3,2,2,1,2,republican,52,male,some college,hispanic,suburban
1,1962,2,3,1,2,1,2,2,democrat,60,female,some college,white,suburban
6,1952,2,2,1,2,2,3,2,other,70,female,high school or less,white,suburban
6,1997,2,1,1,4,11,3,2,other,25,female,high school or less,white,other
6,1999,2,1,2,2,4,NA,NA,other,23,female,high school or less,black,suburban
1,1963,2,3,6,1,1,3,2,democrat,59,female,some college,other,urban
6,2000,2,3,8,3,10,NA,NA,other,22,female,some college,other,rural
2,1944,2,2,1,2,1,8,2,republican,78,female,high school or less,white,suburban
1,1998,2,5,1,2,10,3,1,democrat,24,female,college graduate,white,suburban
1,1954,2,6,1,3,2,3,2,democrat,68,female,postgraduate,white,rural
1,1959,1,5,1,4,10,3,2,democrat,63,male,college graduate,white,other
1,1956,2,2,1,4,11,NA,NA,democrat,66,female,high school or less,white,other
1,1965,1,5,1,1,11,1,2,democrat,57,male,college graduate,white,urban
1,1959,1,5,1,2,11,3,2,democrat,63,male,college graduate,white,suburban
2,1954,1,2,1,4,1,NA,NA,republican,68,male,high school or less,white,other
2,1992,2,4,1,2,1,1,2,republican,30,female,some college,white,suburban
1,1956,1,6,2,2,11,3,1,democrat,66,male,postgraduate,black,suburban
1,1969,2,2,2,2,1,NA,NA,democrat,53,female,high school or less,black,suburban
6,1999,2,2,1,2,6,NA,NA,other,23,female,high school or less,white,suburban
2,1946,2,2,1,2,1,2,2,republican,76,female,high school or less,white,suburban
2,1959,2,3,1,2,1,8,2,republican,63,female,some college,white,suburban
2,1942,1,2,1,2,11,3,2,republican,80,male,high school or less,white,suburban
2,1943,1,2,1,2,9,8,2,republican,79,male,high school or less,white,suburban
1,1960,2,6,3,1,2,3,2,democrat,62,female,postgraduate,hispanic,urban
2,1970,2,4,1,4,12,1,1,republican,52,female,some college,white,other
2,1946,1,3,3,2,2,2,2,republican,76,male,some college,hispanic,suburban
1,1951,1,3,3,1,12,3,2,democrat,71,male,some college,hispanic,urban
2,1963,1,6,1,2,1,3,2,republican,59,male,postgraduate,white,suburban
1,1947,1,5,1,2,4,3,2,democrat,75,male,college graduate,white,suburban
1,1961,2,2,2,1,12,3,2,democrat,61,female,high school or less,black,urban
6,1997,2,3,8,4,1,8,1,other,25,female,some college,other,other
1,1955,1,6,2,1,12,1,2,democrat,67,male,postgraduate,black,urban
1,1958,2,5,1,2,2,3,2,democrat,64,female,college graduate,white,suburban
6,1989,2,3,2,2,2,3,2,other,33,female,some college,black,suburban
1,1971,2,5,1,2,9,2,2,democrat,51,female,college graduate,white,suburban
2,1991,1,5,1,1,1,1,2,republican,31,male,college graduate,white,urban
1,1978,2,3,1,3,2,1,1,democrat,44,female,some college,white,rural
6,1971,1,2,1,2,1,3,2,other,51,male,high school or less,white,suburban
2,1983,2,5,1,4,1,1,2,republican,39,female,college graduate,white,other
1,1965,2,1,2,1,2,3,1,democrat,57,female,high school or less,black,urban
2,1995,2,5,1,1,2,3,2,republican,27,female,college graduate,white,urban
2,1951,1,2,1,1,12,1,2,republican,71,male,high school or less,white,urban
2,1931,2,5,1,2,2,3,2,republican,91,female,college graduate,white,suburban
1,1993,2,5,3,2,1,3,1,democrat,29,female,college graduate,hispanic,suburban
1,1945,1,2,1,2,2,NA,NA,democrat,77,male,high school or less,white,suburban
2,1949,2,5,1,1,1,8,2,republican,73,female,college graduate,white,urban
1,1964,1,5,1,2,11,3,2,democrat,58,male,college graduate,white,suburban
2,1946,2,5,1,4,1,3,2,republican,76,female,college graduate,white,other
6,2003,2,3,3,3,2,3,2,other,19,female,some college,hispanic,rural
1,1988,2,5,4,2,10,3,2,democrat,34,female,college graduate,asian,suburban
1,1981,1,3,1,2,11,3,2,democrat,41,male,some college,white,suburban
6,1968,2,2,1,4,1,3,2,other,54,female,high school or less,white,other
1,1961,2,5,1,1,10,3,2,democrat,61,female,college graduate,white,urban
1,1990,1,2,1,1,2,3,2,democrat,32,male,high school or less,white,urban
1,1991,1,5,1,2,5,3,1,democrat,31,male,college graduate,white,suburban
1,1980,2,5,2,2,12,3,1,democrat,42,female,college graduate,black,suburban
1,1971,2,5,1,2,10,1,2,democrat,51,female,college graduate,white,suburban
2,1995,2,5,1,1,2,3,2,republican,27,female,college graduate,white,urban
1,1998,1,2,5,1,6,2,1,democrat,24,male,high school or less,other,urban
2,1979,1,5,1,4,1,1,2,republican,43,male,college graduate,white,other
1,1951,2,5,1,5,1,3,2,democrat,71,female,college graduate,white,other
1,1981,2,4,1,1,1,2,1,democrat,41,female,some college,white,urban
5,1987,1,5,2,4,10,8,1,did not vote,35,male,college graduate,black,other
1,1965,2,5,1,2,2,3,2,democrat,57,female,college graduate,white,suburban
1,1951,2,5,1,1,12,3,2,democrat,71,female,college graduate,white,urban
1,1966,2,4,1,2,2,3,2,democrat,56,female,some college,white,suburban
1,1965,2,2,2,4,7,8,2,democrat,57,female,high school or less,black,other
6,1994,2,2,3,4,10,3,2,other,28,female,high school or less,hispanic,other
2,1961,2,3,3,1,12,3,2,republican,61,female,some college,hispanic,urban
1,1978,2,4,2,1,1,3,1,democrat,44,female,some college,black,urban
1,1961,3,4,1,3,10,3,2,democrat,61,non-binary,some college,white,rural
2,1955,2,2,1,2,2,3,2,republican,67,female,high school or less,white,suburban
1,1956,2,6,1,2,1,3,1,democrat,66,female,postgraduate,white,suburban
1,1970,2,6,1,1,9,3,2,democrat,52,female,postgraduate,white,urban
2,1991,2,2,7,1,3,NA,NA,republican,31,female,high school or less,other,urban
6,1996,2,5,3,1,12,2,2,other,26,female,college graduate,hispanic,urban
6,1996,2,5,8,1,5,NA,NA,other,26,female,college graduate,other,urban
6,1984,2,3,6,2,12,3,1,other,38,female,some college,other,suburban
6,1992,1,4,1,3,1,1,2,other,30,male,some college,white,rural
2,1971,1,6,1,4,1,1,1,republican,51,male,postgraduate,white,other
1,1963,1,6,1,4,9,3,2,democrat,59,male,postgraduate,white,other
6,1976,2,1,1,4,11,1,2,other,46,female,high school or less,white,other
1,1964,2,3,2,1,12,3,2,democrat,58,female,some college,black,urban
1,1989,1,3,1,1,11,3,1,democrat,33,male,some college,white,urban
2,1958,1,4,1,4,1,3,2,republican,64,male,some college,white,other
1,1968,2,3,1,2,1,3,1,democrat,54,female,some college,white,suburban
2,1996,2,3,1,1,11,1,1,republican,26,female,some college,white,urban
1,1966,1,5,1,2,9,1,2,democrat,56,male,college graduate,white,suburban
1,1973,1,4,2,1,11,1,2,democrat,49,male,some college,black,urban
1,1978,1,2,1,3,11,3,2,democrat,44,male,high school or less,white,rural
1,1960,2,4,1,3,5,3,2,democrat,62,female,some college,white,rural
1,1966,2,2,1,4,11,3,2,democrat,56,female,high school or less,white,other
1,1962,1,5,1,4,9,3,2,democrat,60,male,college graduate,white,other
2,1957,1,4,1,4,11,1,2,republican,65,male,some college,white,other
2,1962,1,5,1,2,12,3,2,republican,60,male,college graduate,white,suburban
6,1965,1,2,2,1,11,1,2,other,57,male,high school or less,black,urban
1,1964,2,4,1,2,2,3,2,democrat,58,female,some college,white,suburban
2,1954,1,5,1,4,1,1,2,republican,68,male,college graduate,white,other
6,2000,1,2,2,3,2,8,1,other,22,male,high school or less,black,rural
2,1994,1,5,1,2,10,1,2,republican,28,male,college graduate,white,suburban
1,1980,1,2,5,1,3,2,1,democrat,42,male,high school or less,other,urban
6,1997,2,5,3,2,11,3,2,other,25,female,college graduate,hispanic,suburban
1,1980,1,6,1,1,12,3,2,democrat,42,male,postgraduate,white,urban
1,1981,2,6,1,1,2,3,2,democrat,41,female,postgraduate,white,urban
2,1962,1,6,7,4,5,1,2,republican,60,male,postgraduate,other,other
2,2001,2,3,1,2,10,2,2,republican,21,female,some college,white,suburban
1,1991,1,5,3,1,9,3,1,democrat,31,male,college graduate,hispanic,urban
6,2001,2,2,2,1,12,NA,NA,other,21,female,high school or less,black,urban
1,1959,1,3,7,5,11,3,2,democrat,63,male,some college,other,other
1,1964,2,3,1,1,2,3,2,democrat,58,female,some college,white,urban
2,1948,1,5,1,2,2,NA,2,republican,74,male,college graduate,white,suburban
2,1951,1,5,1,2,5,1,2,republican,71,male,college graduate,white,suburban
2,1991,2,3,1,4,1,8,2,republican,31,female,some college,white,other
1,1954,2,5,1,3,11,3,2,democrat,68,female,college graduate,white,rural
1,1996,2,3,1,2,11,3,2,democrat,26,female,some college,white,suburban
2,1969,1,2,1,1,2,1,2,republican,53,male,high school or less,white,urban
1,1957,2,6,7,1,10,3,2,democrat,65,female,postgraduate,other,urban
2,1964,1,3,1,3,1,1,2,republican,58,male,some college,white,rural
2,1963,2,2,1,4,1,1,2,republican,59,female,high school or less,white,other
2,1983,1,5,1,2,1,NA,NA,republican,39,male,college graduate,white,suburban
6,1992,1,1,1,1,9,1,2,other,30,male,high school or less,white,urban
2,1960,1,5,1,3,1,NA,NA,republican,62,male,college graduate,white,rural
1,1966,1,6,1,3,10,1,1,democrat,56,male,postgraduate,white,rural
6,1990,2,3,2,1,11,3,1,other,32,female,some college,black,urban
2,1974,2,4,1,4,1,1,1,republican,48,female,some college,white,other
2,1948,1,5,1,4,1,8,2,republican,74,male,college graduate,white,other
2,1940,2,5,1,4,1,8,2,republican,82,female,college graduate,white,other
6,2003,1,3,3,2,5,3,2,other,19,male,some college,hispanic,suburban
2,1941,2,2,1,1,1,3,2,republican,81,female,high school or less,white,urban
1,1993,2,2,1,2,11,3,1,democrat,29,female,high school or less,white,suburban
1,1990,2,6,5,2,2,3,2,democrat,32,female,postgraduate,other,suburban
6,1978,2,5,3,2,2,3,2,other,44,female,college graduate,hispanic,suburban
1,1959,1,2,1,1,11,1,2,democrat,63,male,high school or less,white,urban
1,1980,1,6,2,2,11,1,2,democrat,42,male,postgraduate,black,suburban
1,1956,1,5,1,3,12,3,2,democrat,66,male,college graduate,white,rural
1,1953,1,5,1,1,2,3,2,democrat,69,male,college graduate,white,urban
1,1964,2,3,1,2,12,3,2,democrat,58,female,some college,white,suburban
2,1974,2,3,1,2,11,1,2,republican,48,female,some college,white,suburban
1,1970,1,6,1,2,1,3,2,democrat,52,male,postgraduate,white,suburban
1,1964,2,5,1,2,9,3,1,democrat,58,female,college graduate,white,suburban
1,1994,2,6,1,4,1,1,2,democrat,28,female,postgraduate,white,other
1,1946,1,6,1,2,1,1,2,democrat,76,male,postgraduate,white,suburban
6,1981,2,2,1,4,1,2,2,other,41,female,high school or less,white,other
1,1982,2,2,1,1,11,3,2,democrat,40,female,high school or less,white,urban
1,1964,1,1,1,2,11,1,2,democrat,58,male,high school or less,white,suburban
2,1955,2,2,1,3,1,2,2,republican,67,female,high school or less,white,rural
2,1952,2,2,3,4,2,1,2,republican,70,female,high school or less,hispanic,other
3,1988,2,2,1,3,12,2,2,did not vote,34,female,high school or less,white,rural
2,1968,1,3,1,1,3,3,2,republican,54,male,some college,white,urban
1,1958,1,4,2,1,1,NA,NA,democrat,64,male,some college,black,urban
2,1962,2,5,1,2,12,1,2,republican,60,female,college graduate,white,suburban
1,1988,2,5,1,3,1,1,2,democrat,34,female,college graduate,white,rural
2,1975,2,5,1,2,3,8,2,republican,47,female,college graduate,white,suburban
1,1983,1,6,1,3,1,3,2,democrat,39,male,postgraduate,white,rural
1,1956,2,3,1,2,1,3,2,democrat,66,female,some college,white,suburban
6,1989,2,2,2,2,11,NA,NA,other,33,female,high school or less,black,suburban
2,1959,2,3,3,4,1,1,2,republican,63,female,some college,hispanic,other
1,1960,2,5,1,2,11,2,2,democrat,62,female,college graduate,white,suburban
2,1979,2,2,1,1,9,2,2,republican,43,female,high school or less,white,urban
1,1948,2,2,1,1,10,3,2,democrat,74,female,high school or less,white,urban
1,1953,2,3,1,4,10,1,2,democrat,69,female,some college,white,other
1,1993,2,6,1,1,9,3,2,democrat,29,female,postgraduate,white,urban
2,1947,2,3,1,4,1,1,2,republican,75,female,some college,white,other
2,1962,2,6,1,5,11,1,2,republican,60,female,postgraduate,white,other
2,1981,2,3,1,3,1,1,2,republican,41,female,some college,white,rural
2,1963,1,4,1,2,1,3,2,republican,59,male,some college,white,suburban
2,1962,2,6,1,2,11,2,2,republican,60,female,postgraduate,white,suburban
2,1979,1,5,6,4,12,1,1,republican,43,male,college graduate,other,other
1,1962,1,2,1,2,12,3,2,democrat,60,male,high school or less,white,suburban
2,1970,1,2,1,4,1,1,2,republican,52,male,high school or less,white,other
1,1990,1,5,1,1,2,3,2,democrat,32,male,college graduate,white,urban
1,1941,1,6,1,2,10,1,2,democrat,81,male,postgraduate,white,suburban
6,2003,1,2,1,1,1,3,2,other,19,male,high school or less,white,urban
1,1962,1,2,2,1,11,1,2,democrat,60,male,high school or less,black,urban
2,1961,2,6,1,4,1,2,2,republican,61,female,postgraduate,white,other
1,1990,1,3,1,1,5,1,2,democrat,32,male,some college,white,urban
6,1969,2,1,1,4,1,3,2,other,53,female,high school or less,white,other
6,1994,2,2,1,3,11,3,2,other,28,female,high school or less,white,rural
4,1964,2,6,1,2,11,3,1,did not vote,58,female,postgraduate,white,suburban
1,1971,1,3,1,2,2,1,2,democrat,51,male,some college,white,suburban
1,1987,1,5,1,1,9,3,1,democrat,35,male,college graduate,white,urban
1,1969,1,4,1,2,2,3,2,democrat,53,male,some college,white,suburban
1,1947,2,4,1,2,2,3,2,democrat,75,female,some college,white,suburban
2,1951,1,2,1,2,2,3,2,republican,71,male,high school or less,white,suburban
1,1999,2,5,1,2,2,3,2,democrat,23,female,college graduate,white,suburban
3,1991,2,5,1,2,1,1,2,did not vote,31,female,college graduate,white,suburban
1,1958,2,5,5,4,10,3,1,democrat,64,female,college graduate,other,other
1,1953,2,2,1,2,1,2,2,democrat,69,female,high school or less,white,suburban
2,1997,2,4,1,2,2,2,2,republican,25,female,some college,white,suburban
6,1978,2,5,1,2,11,3,1,other,44,female,college graduate,white,suburban
6,1988,2,3,1,2,11,2,1,other,34,female,some college,white,suburban
1,1978,1,2,6,1,11,3,2,democrat,44,male,high school or less,other,urban
1,1980,2,5,1,2,1,8,2,democrat,42,female,college graduate,white,suburban
2,1964,2,2,1,4,1,3,2,republican,58,female,high school or less,white,other
2,1940,2,4,1,4,2,3,2,republican,82,female,some college,white,other
6,1972,2,1,1,4,11,3,2,other,50,female,high school or less,white,other
1,1941,1,6,1,1,10,3,2,democrat,81,male,postgraduate,white,urban
2,1958,2,2,1,3,1,8,2,republican,64,female,high school or less,white,rural
6,1978,2,5,1,2,1,3,2,other,44,female,college graduate,white,suburban
1,1944,2,6,1,3,2,3,2,democrat,78,female,postgraduate,white,rural
1,1950,1,2,2,1,1,3,2,democrat,72,male,high school or less,black,urban
1,1962,2,1,3,1,11,3,2,democrat,60,female,high school or less,hispanic,urban
1,1940,1,6,1,1,1,3,2,democrat,82,male,postgraduate,white,urban
1,1946,1,6,1,2,11,3,2,democrat,76,male,postgraduate,white,suburban
1,2001,1,3,4,2,9,3,1,democrat,21,male,some college,asian,suburban
2,1953,2,2,1,4,12,1,2,republican,69,female,high school or less,white,other
2,1977,1,6,6,2,11,1,1,republican,45,male,postgraduate,other,suburban
2,1953,1,2,1,2,1,1,2,republican,69,male,high school or less,white,suburban
2,1957,2,4,1,1,11,3,2,republican,65,female,some college,white,urban
1,1959,2,6,1,2,2,3,2,democrat,63,female,postgraduate,white,suburban
1,1949,2,6,1,3,1,3,2,democrat,73,female,postgraduate,white,rural
1,1970,2,6,1,1,1,2,2,democrat,52,female,postgraduate,white,urban
1,1938,2,3,1,4,1,3,2,democrat,84,female,some college,white,other
2,1988,2,3,1,3,12,8,2,republican,34,female,some college,white,rural
1,1950,2,3,1,3,11,2,2,democrat,72,female,some college,white,rural
6,1947,1,6,1,2,5,3,2,other,75,male,postgraduate,white,suburban
1,1951,1,6,1,4,1,1,2,democrat,71,male,postgraduate,white,other
1,1942,2,6,1,2,2,1,2,democrat,80,female,postgraduate,white,suburban
1,1954,2,6,1,1,1,3,2,democrat,68,female,postgraduate,white,urban
2,1984,2,5,1,1,5,1,2,republican,38,female,college graduate,white,urban
2,1948,2,3,1,2,1,3,2,republican,74,female,some college,white,suburban
2,1940,2,4,1,2,1,1,2,republican,82,female,some college,white,suburban
1,1958,1,3,1,2,10,1,2,democrat,64,male,some college,white,suburban
2,1971,1,2,1,4,1,1,1,republican,51,male,high school or less,white,other
2,1982,1,3,1,3,12,NA,NA,republican,40,male,some college,white,rural
2,1939,1,6,1,2,5,3,2,republican,83,male,postgraduate,white,suburban
2,1961,2,6,1,4,1,3,2,republican,61,female,postgraduate,white,other
4,1971,1,3,1,3,1,1,1,did not vote,51,male,some college,white,rural
2,1977,2,3,3,3,4,2,2,republican,45,female,some college,hispanic,rural
1,1956,1,6,1,1,5,2,2,democrat,66,male,postgraduate,white,urban
1,1943,1,2,2,2,1,1,2,democrat,79,male,high school or less,black,suburban
2,1943,2,6,1,1,2,3,2,republican,79,female,postgraduate,white,urban
1,1945,1,6,1,2,9,3,2,democrat,77,male,postgraduate,white,suburban
1,1945,1,6,1,2,9,1,2,democrat,77,male,postgraduate,white,suburban
1,2001,1,3,1,2,9,2,2,democrat,21,male,some college,white,suburban
2,1954,2,2,1,3,1,1,2,republican,68,female,high school or less,white,rural
1,1970,1,2,1,2,1,NA,NA,democrat,52,male,high school or less,white,suburban
2,1972,1,2,1,2,10,3,2,republican,50,male,high school or less,white,suburban
1,1960,2,5,2,4,11,1,1,democrat,62,female,college graduate,black,other
6,1949,2,2,1,4,1,3,2,other,73,female,high school or less,white,other
2,1978,1,3,1,4,9,8,2,republican,44,male,some college,white,other
1,1952,1,2,1,4,11,1,2,democrat,70,male,high school or less,white,other
6,1949,2,2,1,2,1,3,2,other,73,female,high school or less,white,suburban
1,1958,1,3,1,2,9,3,2,democrat,64,male,some college,white,suburban
1,1976,2,6,1,2,1,2,1,democrat,46,female,postgraduate,white,suburban
1,1985,2,6,2,2,9,3,1,democrat,37,female,postgraduate,black,suburban
1,1964,1,2,1,2,12,3,2,democrat,58,male,high school or less,white,suburban
1,1979,2,3,1,2,11,3,2,democrat,43,female,some college,white,suburban
