age,age_cohort,vote_choice,race,income_tier,urbanicity,region,education,gender,religion,state,pid7
63,"(49,64]",democrat,Black,Lower income,Urban,West,2-year College Degree,Female,Nothing in particular,Wyoming,1
39,"(29,49]",democrat,Black,Lower income,Urban,Northeast,High School Graduate,Female,Nothing in particular,Pennsylvania,1
27,"(18,29]",republican,White,Lower income,Rural,West,No High School,Female,Protestant,Oklahoma,7
33,"(29,49]",republican,Asian,Lower income,Rural,Midwest,High School Graduate,Female,Roman Catholic,Iowa,7
35,"(29,49]",democrat,White,Lower income,Urban,Northeast,High School Graduate,Male,Buddhist,New Jersey,6
62,"(49,64]",republican,White,Lower income,Urban,West,2-year College Degree,Male,Protestant,Colorado,5
34,"(29,49]",democrat,Hispanic,Lower income,Urban,Midwest,Some College,Female,Nothing in particular,South Dakota,1
32,"(29,49]",democrat,Black,Lower income,Urban,West,Some College,Female,Protestant,Idaho,1
20,"(18,29]",democrat,Hispanic,Lower income,Urban,West,No High School,Female,Nothing in particular,Hawaii,2
37,"(29,49]",democrat,Black,Lower income,Rural,West,2-year College Degree,Female,Something else,California,1
58,"(49,64]",democrat,White,Lower income,Urban,West,Some College,Male,Atheist,Washington,1
42,"(29,49]",republican,White,Lower income,Urban,Midwest,High School Graduate,Male,Nothing in particular,Missouri,7
48,"(29,49]",democrat,Black,Lower income,Urban,Midwest,No High School,Female,Protestant,Missouri,1
50,"(49,64]",democrat,White,Lower income,Urban,South,High School Graduate,Male,Atheist,Virginia,1
63,"(49,64]",democrat,White,Lower income,Rural,West,High School Graduate,Male,Nothing in particular,Oklahoma,2
58,"(49,64]",republican,White,Lower income,Rural,Midwest,Some College,Female,Roman Catholic,Michigan,6
53,"(49,64]",republican,White,Lower income,Urban,West,High School Graduate,Female,Protestant,Washington,7
43,"(29,49]",democrat,Black,Lower income,Rural,Midwest,No High School,Female,Nothing in particular,Kansas,2
60,"(49,64]",republican,White,Lower income,Rural,West,No High School,Female,Nothing in particular,Wyoming,7
46,"(29,49]",democrat,Black,Lower income,Urban,Northeast,No High School,Female,Nothing in particular,Pennsylvania,2
56,"(49,64]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,Georgia,1
35,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Buddhist,California,1
58,"(49,64]",democrat,White,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,Kentucky,1
42,"(29,49]",democrat,White,Lower income,Urban,South,Some College,Female,Atheist,Arkansas,2
21,"(18,29]",republican,White,Lower income,Urban,West,Some College,Female,Nothing in particular,Washington,7
48,"(29,49]",republican,Native American,Lower income,Urban,Midwest,Some College,Female,Roman Catholic,Ohio,3
56,"(49,64]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,Ohio,1
61,"(49,64]",democrat,Black,Lower income,Urban,South,Some College,Female,Protestant,Virginia,1
41,"(29,49]",democrat,White,Lower income,Urban,Midwest,High School Graduate,Female,Nothing in particular,South Dakota,2
51,"(49,64]",democrat,Black,Lower income,Urban,West,Some College,Female,Protestant,Wyoming,1
57,"(49,64]",republican,White,Lower income,Rural,Midwest,High School Graduate,Male,Buddhist,Minnesota,6
37,"(29,49]",republican,White,Lower income,Rural,West,High School Graduate,Male,Something else,California,7
45,"(29,49]",democrat,Middle Eastern,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Washington,1
59,"(49,64]",democrat,Black,Lower income,Urban,West,2-year College Degree,Male,Something else,Washington,1
43,"(29,49]",republican,White,Lower income,Rural,Northeast,High School Graduate,Male,Protestant,Rhode Island,6
32,"(29,49]",democrat,Black,Lower income,Urban,West,2-year College Degree,Female,Nothing in particular,Oklahoma,1
57,"(49,64]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Protestant,Oklahoma,2
71,"(64,90]",democrat,White,Lower income,Rural,Midwest,Some College,Female,Roman Catholic,Missouri,2
62,"(49,64]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Protestant,New Mexico,2
36,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Protestant,Colorado,1
29,"(18,29]",republican,White,Lower income,Rural,West,Some College,Female,Nothing in particular,Oklahoma,7
45,"(29,49]",republican,Middle Eastern,Lower income,Rural,Northeast,High School Graduate,Female,Protestant,Rhode Island,5
61,"(49,64]",democrat,Black,Lower income,Urban,South,High School Graduate,Male,Protestant,Mississippi,1
39,"(29,49]",democrat,White,Lower income,Rural,West,High School Graduate,Male,Agnostic,Colorado,2
35,"(29,49]",democrat,Black,Lower income,Rural,West,No High School,Female,Roman Catholic,Hawaii,2
54,"(49,64]",republican,White,Lower income,Urban,West,High School Graduate,Male,Atheist,Montana,4
24,"(18,29]",democrat,Black,Lower income,Urban,Midwest,Some College,Female,Protestant,Kansas,1
43,"(29,49]",republican,White,Lower income,Urban,Northeast,High School Graduate,Male,Nothing in particular,Pennsylvania,4
59,"(49,64]",republican,Native American,Lower income,Rural,West,No High School,Male,Nothing in particular,Colorado,7
45,"(29,49]",republican,White,Lower income,Rural,West,Some College,Female,Protestant,Nevada,7
58,"(49,64]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Protestant,Georgia,1
37,"(29,49]",republican,Asian,Lower income,Urban,West,High School Graduate,Male,Muslim,Oklahoma,7
24,"(18,29]",democrat,White,Lower income,Rural,Midwest,Some College,Female,Nothing in particular,Missouri,1
62,"(49,64]",republican,White,Lower income,Rural,South,High School Graduate,Male,Protestant,Kentucky,7
51,"(49,64]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Something else,New Mexico,1
51,"(49,64]",republican,Asian,Lower income,Urban,West,Some College,Female,Roman Catholic,Colorado,7
39,"(29,49]",democrat,Hispanic,Lower income,Urban,West,2-year College Degree,Female,Nothing in particular,Colorado,1
64,"(49,64]",democrat,White,Lower income,Urban,Midwest,4-year College Degree,Male,Nothing in particular,Missouri,3
54,"(49,64]",republican,Other,Lower income,Rural,South,4-year College Degree,Female,Protestant,Alabama,5
35,"(29,49]",democrat,White,Lower income,Urban,South,High School Graduate,Male,Atheist,Louisiana,1
60,"(49,64]",republican,White,Lower income,Urban,West,High School Graduate,Male,Something else,Wyoming,4
48,"(29,49]",democrat,Black,Lower income,Urban,South,High School Graduate,Female,Nothing in particular,Kentucky,2
40,"(29,49]",republican,White,Lower income,Urban,Midwest,2-year College Degree,Male,Something else,Ohio,4
35,"(29,49]",democrat,White,Lower income,Urban,West,High School Graduate,Male,Nothing in particular,Washington,3
41,"(29,49]",democrat,Hispanic,Lower income,Urban,West,Some College,Female,Nothing in particular,Colorado,3
33,"(29,49]",democrat,Black,Lower income,Urban,West,2-year College Degree,Male,Protestant,Hawaii,2
60,"(49,64]",republican,White,Lower income,Rural,South,High School Graduate,Male,Protestant,Virginia,7
31,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Protestant,Missouri,3
34,"(29,49]",democrat,Black,Upper income,Urban,West,2-year College Degree,Male,Mormon,Colorado,7
58,"(49,64]",democrat,White,Lower income,Urban,Midwest,Some College,Female,Nothing in particular,Kansas,1
40,"(29,49]",democrat,White,Lower income,Urban,West,4-year College Degree,Female,Nothing in particular,Hawaii,3
38,"(29,49]",democrat,Black,Lower income,Urban,West,High School Graduate,Male,Roman Catholic,Oklahoma,1
60,"(49,64]",democrat,Black,Lower income,Urban,West,2-year College Degree,Male,Something else,Oklahoma,1
42,"(29,49]",democrat,Hispanic,Lower income,Urban,West,Some College,Female,Roman Catholic,New Mexico,1
26,"(18,29]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Colorado,1
37,"(29,49]",democrat,Other,Upper income,Urban,Midwest,4-year College Degree,Male,Buddhist,Ohio,1
63,"(49,64]",democrat,White,Lower income,Rural,Midwest,No High School,Male,Nothing in particular,Minnesota,1
58,"(49,64]",democrat,Black,Lower income,Rural,West,4-year College Degree,Female,Protestant,Wyoming,2
60,"(49,64]",republican,White,Upper income,Rural,Midwest,Some College,Male,Roman Catholic,Wisconsin,4
47,"(29,49]",democrat,White,Lower income,Urban,Midwest,Some College,Female,Protestant,Missouri,2
63,"(49,64]",republican,White,Lower income,Urban,West,Some College,Female,Nothing in particular,Colorado,4
27,"(18,29]",democrat,Asian,Lower income,Urban,West,4-year College Degree,Female,Atheist,Colorado,1
29,"(18,29]",democrat,White,Lower income,Urban,Midwest,Postgraduate Degree,Male,Something else,Missouri,1
54,"(49,64]",republican,White,Lower income,Urban,West,4-year College Degree,Female,Protestant,Colorado,7
50,"(49,64]",republican,White,Lower income,Rural,Midwest,No High School,Female,Protestant,South Dakota,4
56,"(49,64]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,Kansas,1
49,"(29,49]",democrat,Other,Lower income,Urban,West,4-year College Degree,Female,Nothing in particular,Colorado,4
68,"(64,90]",democrat,Black,Lower income,Urban,Midwest,4-year College Degree,Male,Protestant,Missouri,3
65,"(64,90]",republican,White,Lower income,Rural,South,2-year College Degree,Female,Eastern or Greek Orthodox,Arkansas,6
49,"(29,49]",democrat,White,Lower income,Rural,South,4-year College Degree,Female,Atheist,South Carolina,1
65,"(64,90]",democrat,Black,Lower income,Urban,Midwest,Some College,Female,Protestant,Kansas,1
39,"(29,49]",democrat,White,Upper income,Urban,Midwest,4-year College Degree,Male,Roman Catholic,Ohio,2
35,"(29,49]",democrat,White,Upper income,Urban,Northeast,4-year College Degree,Male,Roman Catholic,Maine,2
53,"(49,64]",democrat,Black,Lower income,Rural,West,4-year College Degree,Female,Protestant,Oklahoma,2
43,"(29,49]",democrat,Black,Lower income,Rural,South,2-year College Degree,Female,Nothing in particular,Alabama,2
51,"(49,64]",democrat,White,Lower income,Rural,Midwest,2-year College Degree,Female,Nothing in particular,South Dakota,1
61,"(49,64]",democrat,Hispanic,Lower income,Urban,Midwest,Some College,Female,Roman Catholic,Michigan,1
61,"(49,64]",democrat,Black,Lower income,Urban,Midwest,4-year College Degree,Female,Protestant,Kansas,1
52,"(49,64]",republican,White,Lower income,Rural,West,2-year College Degree,Female,Protestant,Oklahoma,5
20,"(18,29]",democrat,Middle Eastern,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,Oklahoma,4
38,"(29,49]",democrat,White,Lower income,Rural,West,2-year College Degree,Male,Nothing in particular,Nevada,2
45,"(29,49]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Nothing in particular,Ohio,3
63,"(49,64]",republican,White,Lower income,Rural,West,4-year College Degree,Male,Protestant,Montana,6
64,"(49,64]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Hawaii,1
61,"(49,64]",democrat,White,Lower income,Rural,West,Some College,Male,Nothing in particular,California,1
76,"(64,90]",republican,White,Upper income,Rural,West,Postgraduate Degree,Male,Roman Catholic,Washington,5
24,"(18,29]",republican,Asian,Lower income,Urban,West,No High School,Male,Muslim,Wyoming,7
43,"(29,49]",democrat,Black,Lower income,Urban,South,No High School,Female,Nothing in particular,Maryland,1
51,"(49,64]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,Missouri,1
67,"(64,90]",democrat,White,Lower income,Urban,Midwest,2-year College Degree,Female,Something else,Ohio,1
39,"(29,49]",democrat,Black,Lower income,Rural,Northeast,2-year College Degree,Male,Agnostic,Pennsylvania,1
42,"(29,49]",democrat,White,Lower income,Urban,Northeast,Some College,Male,Nothing in particular,Pennsylvania,1
54,"(49,64]",democrat,Black,Lower income,Urban,West,No High School,Female,Nothing in particular,Hawaii,4
55,"(49,64]",democrat,Black,Lower income,Urban,West,Some College,Female,Nothing in particular,Colorado,1
59,"(49,64]",democrat,Black,Lower income,Urban,Midwest,4-year College Degree,Female,Protestant,Kansas,1
40,"(29,49]",democrat,White,Lower income,Urban,West,Some College,Female,Agnostic,Oklahoma,1
36,"(29,49]",republican,White,Lower income,Rural,Northeast,No High School,Female,Something else,Vermont,6
42,"(29,49]",democrat,White,Upper income,Urban,South,Some College,Female,Atheist,Arkansas,1
39,"(29,49]",democrat,White,Lower income,Urban,Midwest,High School Graduate,Female,Protestant,Ohio,2
48,"(29,49]",democrat,White,Lower income,Rural,Northeast,No High School,Female,Nothing in particular,New Hampshire,1
56,"(49,64]",democrat,White,Lower income,Rural,West,Some College,Male,Agnostic,Idaho,3
56,"(49,64]",republican,Black,Lower income,Urban,Northeast,2-year College Degree,Male,Nothing in particular,Pennsylvania,5
57,"(49,64]",republican,White,Lower income,Rural,South,2-year College Degree,Female,Protestant,Kentucky,7
60,"(49,64]",republican,Black,Lower income,Urban,Midwest,4-year College Degree,Male,Nothing in particular,Ohio,4
48,"(29,49]",democrat,Native American,Lower income,Urban,West,High School Graduate,Male,Something else,Alaska,2
58,"(49,64]",republican,White,Lower income,Rural,Northeast,High School Graduate,Female,Protestant,New Jersey,7
41,"(29,49]",democrat,White,Lower income,Urban,South,High School Graduate,Female,Something else,Mississippi,1
36,"(29,49]",democrat,White,Lower income,Urban,South,4-year College Degree,Male,Roman Catholic,Arkansas,2
36,"(29,49]",democrat,White,Lower income,Rural,Northeast,High School Graduate,Male,Nothing in particular,Rhode Island,2
36,"(29,49]",democrat,White,Lower income,Urban,West,4-year College Degree,Male,Agnostic,Oklahoma,3
59,"(49,64]",democrat,White,Lower income,Urban,South,Some College,Male,Nothing in particular,Kentucky,2
24,"(18,29]",democrat,White,Lower income,Urban,Midwest,4-year College Degree,Female,Roman Catholic,South Dakota,2
47,"(29,49]",democrat,White,Upper income,Urban,West,Postgraduate Degree,Male,Eastern or Greek Orthodox,Washington,3
39,"(29,49]",republican,White,Lower income,Rural,South,High School Graduate,Male,Nothing in particular,Virginia,7
59,"(49,64]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Male,Something else,South Dakota,1
37,"(29,49]",democrat,White,Lower income,Urban,West,High School Graduate,Female,Something else,California,1
38,"(29,49]",democrat,White,Lower income,Urban,Northeast,High School Graduate,Male,Mormon,Pennsylvania,4
60,"(49,64]",democrat,White,Lower income,Urban,Midwest,Some College,Male,Nothing in particular,Ohio,4
73,"(64,90]",republican,White,Lower income,Urban,South,2-year College Degree,Female,Protestant,Kentucky,6
45,"(29,49]",democrat,Hispanic,Lower income,Urban,Midwest,No High School,Male,Roman Catholic,Ohio,1
73,"(64,90]",republican,White,Lower income,Rural,Northeast,No High School,Female,Roman Catholic,Massachusetts,7
61,"(49,64]",democrat,Black,Lower income,Urban,Midwest,4-year College Degree,Female,Protestant,Kansas,1
29,"(18,29]",democrat,White,Lower income,Urban,Midwest,4-year College Degree,Male,Roman Catholic,South Dakota,1
30,"(29,49]",democrat,Black,Lower income,Urban,West,No High School,Female,Nothing in particular,Nevada,2
44,"(29,49]",democrat,White,Lower income,Rural,West,Postgraduate Degree,Male,Protestant,Hawaii,3
56,"(49,64]",democrat,Black,Upper income,Urban,West,4-year College Degree,Female,Protestant,Oklahoma,1
75,"(64,90]",republican,White,Lower income,Urban,West,Some College,Female,Roman Catholic,Wyoming,7
49,"(29,49]",democrat,White,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,Colorado,1
53,"(49,64]",democrat,White,Upper income,Urban,West,Some College,Female,Protestant,Colorado,1
49,"(29,49]",democrat,Black,Lower income,Urban,Northeast,Some College,Female,Mormon,Maine,2
32,"(29,49]",democrat,White,Lower income,Urban,South,Postgraduate Degree,Female,Eastern or Greek Orthodox,Mississippi,3
64,"(49,64]",democrat,Black,Lower income,Urban,West,High School Graduate,Female,Buddhist,Colorado,1
60,"(49,64]",democrat,White,Lower income,Urban,West,2-year College Degree,Male,Jewish,Colorado,2
62,"(49,64]",democrat,Black,Lower income,Rural,West,High School Graduate,Female,Something else,Wyoming,1
22,"(18,29]",democrat,Asian,Lower income,Urban,West,4-year College Degree,Female,Muslim,Colorado,1
53,"(49,64]",democrat,White,Lower income,Rural,South,High School Graduate,Male,Roman Catholic,South Carolina,2
42,"(29,49]",democrat,White,Lower income,Rural,West,High School Graduate,Male,Atheist,Oklahoma,1
42,"(29,49]",democrat,White,Lower income,Urban,West,No High School,Female,Muslim,Colorado,1
48,"(29,49]",republican,White,Lower income,Urban,South,No High School,Female,Protestant,Louisiana,4
65,"(64,90]",democrat,White,Lower income,Urban,Northeast,High School Graduate,Male,Protestant,Pennsylvania,1
42,"(29,49]",democrat,White,Lower income,Rural,West,2-year College Degree,Male,Nothing in particular,Hawaii,4
49,"(29,49]",democrat,White,Lower income,Urban,Northeast,Some College,Female,Atheist,Massachusetts,3
60,"(49,64]",democrat,White,Lower income,Rural,South,Some College,Female,Jewish,Louisiana,1
64,"(49,64]",democrat,White,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,Idaho,2
29,"(18,29]",republican,White,Lower income,Urban,South,4-year College Degree,Male,Agnostic,Arkansas,7
50,"(49,64]",democrat,Black,Lower income,Urban,Northeast,Some College,Female,Nothing in particular,Massachusetts,1
57,"(49,64]",republican,White,Lower income,Rural,West,2-year College Degree,Female,Nothing in particular,Wyoming,7
54,"(49,64]",democrat,Black,Lower income,Urban,West,Some College,Male,Nothing in particular,Hawaii,3
36,"(29,49]",democrat,White,Lower income,Rural,Midwest,High School Graduate,Male,Nothing in particular,South Dakota,4
53,"(49,64]",republican,White,Lower income,Urban,Midwest,High School Graduate,Male,Nothing in particular,Kansas,5
56,"(49,64]",republican,White,Lower income,Rural,South,Postgraduate Degree,Female,Protestant,Delaware,5
62,"(49,64]",republican,Black,Lower income,Urban,Northeast,High School Graduate,Female,Protestant,Maine,2
43,"(29,49]",republican,Black,Lower income,Urban,Midwest,2-year College Degree,Male,Something else,Missouri,5
34,"(29,49]",democrat,White,Upper income,Urban,Midwest,Postgraduate Degree,Female,Atheist,Ohio,1
55,"(49,64]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Nothing in particular,Colorado,1
46,"(29,49]",democrat,White,Lower income,Urban,South,Some College,Female,Nothing in particular,Virginia,4
56,"(49,64]",democrat,White,Lower income,Rural,Midwest,4-year College Degree,Female,Nothing in particular,Missouri,2
60,"(49,64]",republican,White,Lower income,Rural,West,Some College,Male,Protestant,Washington,5
57,"(49,64]",republican,White,Lower income,Urban,South,2-year College Degree,Female,Roman Catholic,Mississippi,6
54,"(49,64]",democrat,Black,Lower income,Urban,Northeast,Some College,Male,Nothing in particular,Pennsylvania,2
63,"(49,64]",republican,White,Lower income,Urban,South,High School Graduate,Male,Nothing in particular,Louisiana,2
53,"(49,64]",democrat,White,Upper income,Urban,Midwest,4-year College Degree,Male,Atheist,Kansas,2
52,"(49,64]",republican,White,Lower income,Urban,West,High School Graduate,Female,Roman Catholic,Hawaii,7
31,"(29,49]",democrat,White,Lower income,Urban,South,High School Graduate,Male,Buddhist,South Carolina,1
58,"(49,64]",democrat,White,Lower income,Urban,South,Some College,Female,Nothing in particular,Virginia,3
74,"(64,90]",democrat,Black,Upper income,Urban,Midwest,Postgraduate Degree,Male,Protestant,Ohio,1
59,"(49,64]",republican,White,Lower income,Rural,West,Some College,Female,Protestant,Washington,4
61,"(49,64]",republican,White,Lower income,Urban,West,Some College,Male,Roman Catholic,Colorado,7
41,"(29,49]",republican,White,Upper income,Urban,South,4-year College Degree,Female,Something else,Delaware,6
26,"(18,29]",democrat,Asian,Lower income,Urban,West,4-year College Degree,Female,Roman Catholic,Washington,2
61,"(49,64]",republican,White,Lower income,Urban,Midwest,High School Graduate,Male,Protestant,South Dakota,7
46,"(29,49]",democrat,Hispanic,Lower income,Urban,West,Some College,Female,Something else,Colorado,4
47,"(29,49]",republican,White,Lower income,Rural,West,No High School,Female,Nothing in particular,Nevada,6
75,"(64,90]",republican,White,Lower income,Rural,Midwest,High School Graduate,Male,Nothing in particular,Missouri,4
69,"(64,90]",democrat,Black,Lower income,Urban,Midwest,High School Graduate,Female,Something else,South Dakota,1
59,"(49,64]",republican,White,Lower income,Rural,South,Some College,Female,Roman Catholic,Virginia,6
63,"(49,64]",republican,Other,Lower income,Rural,Northeast,4-year College Degree,Female,Protestant,New Hampshire,7
70,"(64,90]",democrat,Black,Lower income,Rural,South,High School Graduate,Male,Nothing in particular,Kentucky,1
65,"(64,90]",democrat,White,Lower income,Urban,South,No High School,Female,Nothing in particular,South Carolina,3
36,"(29,49]",republican,Black,Lower income,Rural,South,High School Graduate,Female,Nothing in particular,North Carolina,5
62,"(49,64]",democrat,Hispanic,Lower income,Urban,West,High School Graduate,Female,Something else,Washington,1
44,"(29,49]",democrat,White,Lower income,Rural,South,Some College,Female,Nothing in particular,Virginia,1
30,"(29,49]",democrat,Hispanic,Lower income,Urban,Northeast,High School Graduate,Male,Nothing in particular,Massachusetts,4
58,"(49,64]",democrat,Hispanic,Lower income,Rural,Midwest,Some College,Female,Roman Catholic,North Dakota,1
58,"(49,64]",democrat,White,Lower income,Rural,West,Postgraduate Degree,Female,Jewish,Wyoming,1
77,"(64,90]",republican,White,Lower income,Rural,West,High School Graduate,Female,Roman Catholic,Montana,7
22,"(18,29]",democrat,White,Lower income,Urban,West,4-year College Degree,Female,Atheist,Montana,1
56,"(49,64]",republican,White,Lower income,Rural,West,Some College,Female,Nothing in particular,Utah,2
64,"(49,64]",democrat,White,Lower income,Urban,Northeast,High School Graduate,Male,Something else,Pennsylvania,3
70,"(64,90]",democrat,Hispanic,Lower income,Rural,Midwest,High School Graduate,Female,Roman Catholic,Ohio,2
58,"(49,64]",democrat,White,Lower income,Urban,West,Some College,Female,Nothing in particular,Montana,3
47,"(29,49]",democrat,White,Upper income,Urban,West,Postgraduate Degree,Male,Protestant,Colorado,2
51,"(49,64]",democrat,White,Lower income,Urban,West,Some College,Female,Something else,California,1
35,"(29,49]",democrat,Black,Lower income,Urban,West,Some College,Male,Protestant,Colorado,3
62,"(49,64]",republican,White,Lower income,Rural,South,Some College,Female,Protestant,Arkansas,6
33,"(29,49]",democrat,Black,Lower income,Urban,South,Postgraduate Degree,Female,Nothing in particular,Alabama,1
39,"(29,49]",democrat,White,Upper income,Urban,West,4-year College Degree,Male,Atheist,Colorado,1
31,"(29,49]",republican,White,Lower income,Rural,Midwest,Some College,Female,Something else,Missouri,4
69,"(64,90]",democrat,White,Lower income,Urban,South,No High School,Female,Atheist,Arkansas,1
56,"(49,64]",democrat,Asian,Lower income,Urban,Midwest,2-year College Degree,Female,Roman Catholic,Ohio,1
33,"(29,49]",republican,Native American,Lower income,Rural,West,High School Graduate,Female,Protestant,Oklahoma,7
59,"(49,64]",democrat,White,Upper income,Rural,West,2-year College Degree,Male,Nothing in particular,Oklahoma,4
61,"(49,64]",republican,Other,Upper income,Rural,Midwest,4-year College Degree,Male,Something else,South Dakota,6
36,"(29,49]",republican,White,Lower income,Rural,West,High School Graduate,Female,Nothing in particular,Oklahoma,7
73,"(64,90]",democrat,White,Lower income,Urban,Northeast,High School Graduate,Female,Protestant,New Jersey,3
62,"(49,64]",democrat,Black,Lower income,Rural,South,Some College,Female,Protestant,Alabama,1
