presvote20post,birthyr,gender4,educ,race,urbancity,religpew,gunown,edloan,vvweight,inputstate,pid7,votereg,faminc_new
1,1963,1,6,2,2,11,3,1,0.7518155621,42,1,1,7
1,2001,1,3,2,2,1,3,2,3.084809748,12,2,1,5
2,1970,2,6,1,2,1,2,2,1.3406715913,12,6,1,12
1,1958,1,4,1,4,12,1,2,0.534392691,39,2,1,10
1,1994,2,6,2,2,1,NA,NA,1.0489033815,51,1,1,1
2,1949,2,3,1,2,1,3,2,0.9963749734,13,7,1,5
1,1999,2,6,4,1,9,3,2,0.8145995022,42,1,1,5
1,1976,2,4,1,2,10,3,2,0.3982575122,5,2,1,6
2,1997,2,5,1,1,2,NA,NA,NA,51,6,1,10
2,1957,2,4,1,4,1,1,2,NA,55,7,1,5
1,2001,1,3,1,2,9,3,1,1.618870635,47,3,1,97
1,1955,1,2,1,1,1,1,2,0.5519966773,18,1,1,11
2,1966,1,2,1,1,1,3,2,1.4539966804,42,4,1,2
1,1938,1,4,3,1,2,NA,NA,0.7648510683,35,1,1,8
6,1983,1,4,1,2,4,NA,NA,0.434734929,51,7,1,12
2,1949,1,6,1,4,11,1,2,1.2744944097,24,5,1,13
1,1996,2,4,1,3,2,1,2,1.5231368081,25,1,1,4
1,1969,2,6,7,2,11,2,2,0.1796895722,26,4,1,12
2,1956,2,3,1,4,1,2,2,1.123750661,37,5,1,3
1,1957,2,3,2,2,1,1,2,0.5425203663,48,1,1,10
2,1974,2,6,7,2,11,2,1,NA,25,5,1,4
1,1997,2,2,2,1,1,1,1,NA,12,1,1,2
6,1996,1,2,1,2,7,3,2,NA,29,4,2,3
1,1951,2,4,1,4,11,2,2,0.9495912983,26,3,1,3
1,1948,1,6,1,2,9,3,2,0.6303963769,6,1,1,13
2,1970,1,3,3,2,2,1,2,0.4549762472,40,7,1,6
1,1962,2,3,1,2,1,2,2,0.6128608102,20,1,1,12
6,1952,2,2,1,2,2,3,2,NA,39,5,2,5
6,1997,2,1,1,4,11,3,2,NA,19,4,2,1
6,1999,2,1,2,2,4,NA,NA,NA,6,4,1,6
1,1963,2,3,6,1,1,3,2,0.4359303985,36,1,1,3
6,2000,2,3,8,3,10,NA,NA,NA,6,3,1,11
2,1944,2,2,1,2,1,8,2,1.2021621696,12,7,1,4
1,1998,2,5,1,2,10,3,1,0.7408190669,17,1,1,7
1,1954,2,6,1,3,2,3,2,0.6615688226,4,1,1,5
1,1959,1,5,1,4,10,3,2,0.9851803792,53,1,1,13
1,1956,2,2,1,4,11,NA,NA,0.4338618637,54,1,1,6
1,1965,1,5,1,1,11,1,2,0.9851803792,53,1,1,11
1,1959,1,5,1,2,11,3,2,0.9851803792,53,1,1,8
2,1954,1,2,1,4,1,NA,NA,2.0566489532,41,7,1,2
2,1992,2,4,1,2,1,1,2,0.8660882177,48,4,1,97
1,1956,1,6,2,2,11,3,1,0.3640900512,48,1,1,13
1,1969,2,2,2,2,1,NA,NA,1.0172299514,28,1,1,1
6,1999,2,2,1,2,6,NA,NA,NA,55,1,1,6
2,1946,2,2,1,2,1,2,2,1.2519272213,26,7,1,3
2,1959,2,3,1,2,1,8,2,1.3671443402,29,7,1,4
2,1942,1,2,1,2,11,3,2,0.6425739734,12,4,1,3
2,1943,1,2,1,2,9,8,2,0.9152038147,53,7,1,97
1,1960,2,6,3,1,2,3,2,0.5453146839,48,3,1,12
2,1970,2,4,1,4,12,1,1,0.7580946234,18,7,1,11
2,1946,1,3,3,2,2,2,2,0.2750516143,12,6,1,6
1,1951,1,3,3,1,12,3,2,0.1748246042,12,2,1,5
2,1963,1,6,1,2,1,3,2,1.2436319964,39,7,1,2
1,1947,1,5,1,2,4,3,2,0.4459073472,26,1,1,11
1,1961,2,2,2,1,12,3,2,1.1821319305,6,1,1,3
6,1997,2,3,8,4,1,8,1,NA,9,4,1,15
1,1955,1,6,2,1,12,1,2,0.6266057754,6,1,1,12
1,1958,2,5,1,2,2,3,2,0.5594875525,36,6,1,10
6,1989,2,3,2,2,2,3,2,0.2314834803,44,4,2,1
1,1971,2,5,1,2,9,2,2,0.5048452244,39,1,1,9
2,1991,1,5,1,1,1,1,2,1.913739069,48,4,1,9
1,1978,2,3,1,3,2,1,1,0.6784044286,12,8,1,8
6,1971,1,2,1,2,1,3,2,NA,40,1,1,2
2,1983,2,5,1,4,1,1,2,1.8655060092,29,7,1,2
1,1965,2,1,2,1,2,3,1,4.6713303475,6,2,1,2
2,1995,2,5,1,1,2,3,2,NA,5,6,1,5
2,1951,1,2,1,1,12,1,2,0.663750266,4,5,1,4
2,1931,2,5,1,2,2,3,2,1.2748175163,12,6,1,6
1,1993,2,5,3,2,1,3,1,NA,41,1,1,8
1,1945,1,2,1,2,2,NA,NA,0.5340008179,42,1,1,2
2,1949,2,5,1,1,1,8,2,1.5923414036,48,4,1,8
1,1964,1,5,1,2,11,3,2,0.5887779273,32,3,1,10
2,1946,2,5,1,4,1,3,2,NA,30,6,1,97
6,2003,2,3,3,3,2,3,2,NA,6,8,2,97
1,1988,2,5,4,2,10,3,2,0.4478162207,45,3,1,12
1,1981,1,3,1,2,11,3,2,NA,28,3,1,10
6,1968,2,2,1,4,1,3,2,1.8248560424,5,8,1,1
1,1961,2,5,1,1,10,3,2,0.6416429494,19,1,1,7
1,1990,1,2,1,1,2,3,2,0.9554899287,36,1,1,3
1,1991,1,5,1,2,5,3,1,1.1008417814,42,1,1,12
1,1980,2,5,2,2,12,3,1,1.0515275425,34,1,1,11
1,1971,2,5,1,2,10,1,2,0.4960041497,18,3,1,12
2,1995,2,5,1,1,2,3,2,NA,5,6,1,5
1,1998,1,2,5,1,6,2,1,NA,49,2,1,7
2,1979,1,5,1,4,1,1,2,NA,47,5,1,6
1,1951,2,5,1,5,1,3,2,0.832228024,53,1,1,2
1,1981,2,4,1,1,1,2,1,1.0299116952,8,1,1,9
5,1987,1,5,2,4,10,8,1,NA,51,4,1,8
1,1965,2,5,1,2,2,3,2,0.7788055859,42,1,1,10
1,1951,2,5,1,1,12,3,2,0.5287295116,31,1,1,7
1,1966,2,4,1,2,2,3,2,0.7369648823,26,1,1,1
1,1965,2,2,2,4,7,8,2,1.10833515,51,1,1,4
6,1994,2,2,3,4,10,3,2,1.0438053217,40,1,1,2
2,1961,2,3,3,1,12,3,2,NA,35,7,1,97
1,1978,2,4,2,1,1,3,1,1.7561208278,47,1,1,2
1,1961,3,4,1,3,10,3,2,0.6445822402,25,3,1,10
2,1955,2,2,1,2,2,3,2,1.4343151991,42,7,1,8
1,1956,2,6,1,2,1,3,1,1.0766787086,44,1,1,9
1,1970,2,6,1,1,9,3,2,1.0638155634,6,3,1,8
2,1991,2,2,7,1,3,NA,NA,NA,20,7,1,10
6,1996,2,5,3,1,12,2,2,0.467879131,36,3,1,10
6,1996,2,5,8,1,5,NA,NA,NA,12,1,1,6
6,1984,2,3,6,2,12,3,1,NA,12,4,1,5
6,1992,1,4,1,3,1,1,2,NA,12,8,1,9
2,1971,1,6,1,4,1,1,1,0.8505719912,5,7,1,9
1,1963,1,6,1,4,9,3,2,NA,8,1,1,13
6,1976,2,1,1,4,11,1,2,NA,48,8,2,7
1,1964,2,3,2,1,12,3,2,0.4750280744,11,1,1,1
1,1989,1,3,1,1,11,3,1,0.9747898684,6,1,1,3
2,1958,1,4,1,4,1,3,2,0.7958221487,6,7,1,10
1,1968,2,3,1,2,1,3,1,0.6271495742,39,1,1,8
2,1996,2,3,1,1,11,1,1,1.3648629723,53,8,1,2
1,1966,1,5,1,2,9,1,2,NA,48,1,1,11
1,1973,1,4,2,1,11,1,2,NA,12,1,1,9
1,1978,1,2,1,3,11,3,2,1.1713756821,34,8,1,3
1,1960,2,4,1,3,5,3,2,0.5587224423,36,2,1,7
1,1966,2,2,1,4,11,3,2,0.7859264273,23,2,1,97
1,1962,1,5,1,4,9,3,2,0.5394995427,13,1,1,3
2,1957,1,4,1,4,11,1,2,1.2539075348,41,5,1,3
2,1962,1,5,1,2,12,3,2,0.8524606351,55,6,1,12
6,1965,1,2,2,1,11,1,2,7.1827491711,34,4,1,6
1,1964,2,4,1,2,2,3,2,0.7624175675,6,1,1,1
2,1954,1,5,1,4,1,1,2,0.8665807733,29,7,1,4
6,2000,1,2,2,3,2,8,1,NA,30,8,1,1
2,1994,1,5,1,2,10,1,2,NA,39,6,1,5
1,1980,1,2,5,1,3,2,1,NA,41,2,1,7
6,1997,2,5,3,2,11,3,2,NA,6,2,1,97
1,1980,1,6,1,1,12,3,2,0.9931519393,32,2,1,10
1,1981,2,6,1,1,2,3,2,NA,36,1,1,11
2,1962,1,6,7,4,5,1,2,0.4021724276,27,7,1,8
2,2001,2,3,1,2,10,2,2,1.2532183654,4,4,1,1
1,1991,1,5,3,1,9,3,1,0.6546211627,48,1,1,10
6,2001,2,2,2,1,12,NA,NA,0.2022171236,13,4,1,4
1,1959,1,3,7,5,11,3,2,0.1801881444,6,4,1,8
1,1964,2,3,1,1,2,3,2,0.5587224423,36,1,1,3
2,1948,1,5,1,2,2,NA,2,1.0568117966,17,5,1,6
2,1951,1,5,1,2,5,1,2,0.7479010896,47,5,1,3
2,1991,2,3,1,4,1,8,2,NA,13,7,1,7
1,1954,2,5,1,3,11,3,2,0.2223027825,2,1,1,4
1,1996,2,3,1,2,11,3,2,1.6803167927,6,3,1,8
2,1969,1,2,1,1,2,1,2,2.1169754351,9,5,1,9
1,1957,2,6,7,1,10,3,2,0.1263597886,48,1,1,6
2,1964,1,3,1,3,1,1,2,NA,6,5,1,12
2,1963,2,2,1,4,1,1,2,1.3480493979,19,6,1,6
2,1983,1,5,1,2,1,NA,NA,0.9590751325,40,1,2,12
6,1992,1,1,1,1,9,1,2,NA,1,6,1,7
2,1960,1,5,1,3,1,NA,NA,0.6119258864,48,5,1,10
1,1966,1,6,1,3,10,1,1,0.5773500677,37,3,1,8
6,1990,2,3,2,1,11,3,1,0.6446080836,36,4,2,5
2,1974,2,4,1,4,1,1,1,0.4705163415,22,6,1,5
2,1948,1,5,1,4,1,8,2,1.236797742,42,7,1,4
2,1940,2,5,1,4,1,8,2,NA,48,5,1,8
6,2003,1,3,3,2,5,3,2,0.4680272209,12,1,1,8
2,1941,2,2,1,1,1,3,2,1.880608086,20,7,1,3
1,1993,2,2,1,2,11,3,1,5.8352947713,4,3,1,6
1,1990,2,6,5,2,2,3,2,NA,33,2,1,3
6,1978,2,5,3,2,2,3,2,0.8387414473,6,7,2,9
1,1959,1,2,1,1,11,1,2,1.2068205086,4,1,1,2
1,1980,1,6,2,2,11,1,2,NA,36,3,1,14
1,1956,1,5,1,3,12,3,2,0.5327623233,41,2,1,13
1,1953,1,5,1,1,2,3,2,NA,17,5,1,6
1,1964,2,3,1,2,12,3,2,0.7369648823,26,2,1,3
2,1974,2,3,1,2,11,1,2,0.3153528453,12,5,1,2
1,1970,1,6,1,2,1,3,2,0.41031666,6,3,1,11
1,1964,2,5,1,2,9,3,1,0.6460485433,20,1,1,11
1,1994,2,6,1,4,1,1,2,NA,47,4,1,9
1,1946,1,6,1,2,1,1,2,0.5784049731,51,3,1,11
6,1981,2,2,1,4,1,2,2,NA,48,7,2,1
1,1982,2,2,1,1,11,3,2,1.3878609414,47,1,1,1
1,1964,1,1,1,2,11,1,2,4.8672956988,53,2,1,6
2,1955,2,2,1,3,1,2,2,0.3356274868,31,2,1,3
2,1952,2,2,3,4,2,1,2,2.9527958993,35,2,1,7
3,1988,2,2,1,3,12,2,2,0.2205488128,5,6,1,4
2,1968,1,3,1,1,3,3,2,0.9690227051,47,7,1,9
1,1958,1,4,2,1,1,NA,NA,0.6706129285,25,1,1,4
2,1962,2,5,1,2,12,1,2,2.0629657652,21,7,1,6
1,1988,2,5,1,3,1,1,2,0.7157507754,37,1,1,5
2,1975,2,5,1,2,3,8,2,1.4174585429,51,7,1,14
1,1983,1,6,1,3,1,3,2,1.5103649482,17,3,1,11
1,1956,2,3,1,2,1,3,2,0.7517017111,48,1,1,6
6,1989,2,2,2,2,11,NA,NA,NA,1,4,2,1
2,1959,2,3,3,4,1,1,2,0.4869682787,41,5,1,4
1,1960,2,5,1,2,11,2,2,0.509951407,27,1,1,8
2,1979,2,2,1,1,9,2,2,0.5913459564,49,7,1,97
1,1948,2,2,1,1,10,3,2,0.8280864651,29,1,1,5
1,1953,2,3,1,4,10,1,2,0.4347323375,5,1,1,3
1,1993,2,6,1,1,9,3,2,1.126588635,36,1,1,8
2,1947,2,3,1,4,1,1,2,0.9632309914,30,7,1,4
2,1962,2,6,1,5,11,1,2,1.1797165961,32,5,1,7
2,1981,2,3,1,3,1,1,2,2.0712908641,13,4,1,6
2,1963,1,4,1,2,1,3,2,1.0217874413,42,7,1,12
2,1962,2,6,1,2,11,2,2,1.1422581229,39,6,1,8
2,1979,1,5,6,4,12,1,1,0.6149399345,47,4,1,16
1,1962,1,2,1,2,12,3,2,0.8320198015,13,1,1,1
2,1970,1,2,1,4,1,1,2,1.5681797643,21,7,1,8
1,1990,1,5,1,1,2,3,2,NA,48,1,1,7
1,1941,1,6,1,2,10,1,2,0.8342007191,42,1,1,16
6,2003,1,2,1,1,1,3,2,1.456877031,39,1,1,6
1,1962,1,2,2,1,11,1,2,2.27718145,29,1,1,3
2,1961,2,6,1,4,1,2,2,0.9877354516,47,7,1,11
1,1990,1,3,1,1,5,1,2,NA,34,1,1,8
6,1969,2,1,1,4,1,3,2,NA,40,7,2,3
6,1994,2,2,1,3,11,3,2,NA,42,4,2,3
4,1964,2,6,1,2,11,3,1,NA,6,4,1,5
1,1971,1,3,1,2,2,1,2,0.5657954001,18,4,1,10
1,1987,1,5,1,1,9,3,1,1.4173196529,9,3,1,10
1,1969,1,4,1,2,2,3,2,0.675500772,27,2,1,13
1,1947,2,4,1,2,2,3,2,0.5904780618,39,3,1,4
2,1951,1,2,1,2,2,3,2,0.768895963,29,5,1,3
1,1999,2,5,1,2,2,3,2,NA,21,3,1,3
3,1991,2,5,1,2,1,1,2,0.7587698109,12,4,1,14
1,1958,2,5,5,4,10,3,1,0.1980950104,18,1,1,7
1,1953,2,2,1,2,1,2,2,0.9754220011,39,1,1,11
2,1997,2,4,1,2,2,2,2,1.5617743487,42,7,1,9
6,1978,2,5,1,2,11,3,1,NA,36,2,2,7
6,1988,2,3,1,2,11,2,1,0.6166348286,48,3,1,1
1,1978,1,2,6,1,11,3,2,NA,19,2,1,10
1,1980,2,5,1,2,1,8,2,NA,51,2,1,2
2,1964,2,2,1,4,1,3,2,1.4537171237,37,7,1,3
2,1940,2,4,1,4,2,3,2,1.1311433991,34,7,1,5
6,1972,2,1,1,4,11,3,2,NA,39,4,2,3
1,1941,1,6,1,1,10,3,2,0.8342007191,42,1,1,12
2,1958,2,2,1,3,1,8,2,1.040068894,42,4,1,3
6,1978,2,5,1,2,1,3,2,1.330936186,42,4,1,4
1,1944,2,6,1,3,2,3,2,0.5915749549,12,3,1,6
1,1950,1,2,2,1,1,3,2,0.9632314203,48,1,1,4
1,1962,2,1,3,1,11,3,2,2.3863096807,36,1,1,1
1,1940,1,6,1,1,1,3,2,0.3512518435,15,2,1,6
1,1946,1,6,1,2,11,3,2,0.5784049731,51,1,1,5
1,2001,1,3,4,2,9,3,1,1.8774930482,36,1,1,12
2,1953,2,2,1,4,12,1,2,1.4343151991,42,7,1,9
2,1977,1,6,6,2,11,1,1,NA,53,4,1,97
2,1953,1,2,1,2,1,1,2,0.7880686284,24,6,1,11
2,1957,2,4,1,1,11,3,2,NA,6,5,2,97
1,1959,2,6,1,2,2,3,2,0.813672945,42,1,1,14
1,1949,2,6,1,3,1,3,2,2.006518156,41,3,1,3
1,1970,2,6,1,1,1,2,2,0.9857627711,55,1,1,8
1,1938,2,3,1,4,1,3,2,0.6616780999,29,3,1,3
2,1988,2,3,1,3,12,8,2,1.6866573477,17,7,1,1
1,1950,2,3,1,3,11,2,2,0.6134496285,36,1,1,9
6,1947,1,6,1,2,5,3,2,0.802888218,13,5,1,14
1,1951,1,6,1,4,1,1,2,0.4933895355,55,2,1,10
1,1942,2,6,1,2,2,1,2,0.6067801485,29,3,1,8
1,1954,2,6,1,1,1,3,2,0.6700052951,27,1,1,7
2,1984,2,5,1,1,5,1,2,1.4496226215,48,7,1,11
2,1948,2,3,1,2,1,3,2,0.8261775756,47,7,1,97
2,1940,2,4,1,2,1,1,2,1.0503404551,18,5,1,3
1,1958,1,3,1,2,10,1,2,0.5367251684,13,1,1,97
2,1971,1,2,1,4,1,1,1,1.6906687428,47,7,1,11
2,1982,1,3,1,3,12,NA,NA,NA,47,2,1,8
2,1939,1,6,1,2,5,3,2,0.7457124993,51,6,1,9
2,1961,2,6,1,4,1,3,2,0.9877354516,47,6,1,9
4,1971,1,3,1,3,1,1,1,0.0450701376,45,4,1,3
2,1977,2,3,3,3,4,2,2,NA,36,5,1,3
1,1956,1,6,1,1,5,2,2,0.0958329609,38,4,1,12
1,1943,1,2,2,2,1,1,2,2.8538467256,22,1,1,4
2,1943,2,6,1,1,2,3,2,1.2967644681,39,6,1,5
1,1945,1,6,1,2,9,3,2,0.5784049731,51,1,1,13
1,1945,1,6,1,2,9,1,2,0.6058305849,12,3,1,11
1,2001,1,3,1,2,9,2,2,1.799576022,24,1,1,14
2,1954,2,2,1,3,1,1,2,0.9844479211,37,4,1,1
1,1970,1,2,1,2,1,NA,NA,0.8744862797,39,2,1,3
2,1972,1,2,1,2,10,3,2,1.3641784062,51,7,1,6
1,1960,2,5,2,4,11,1,1,0.8639019549,13,1,1,9
6,1949,2,2,1,4,1,3,2,NA,54,4,2,2
2,1978,1,3,1,4,9,8,2,1.8041962018,41,5,1,11
1,1952,1,2,1,4,11,1,2,0.4849316251,55,1,1,5
6,1949,2,2,1,2,1,3,2,NA,48,7,3,4
1,1958,1,3,1,2,9,3,2,0.675500772,27,1,1,97
1,1976,2,6,1,2,1,2,1,0.3689675258,21,1,1,8
1,1985,2,6,2,2,9,3,1,0.3493424843,22,3,1,9
1,1964,1,2,1,2,12,3,2,NA,12,1,1,4
1,1979,2,3,1,2,11,3,2,0.779886495,21,1,1,9
2,1981,1,5,1,1,2,8,2,1.6852120831,51,5,1,12
1,1965,2,4,3,2,11,3,1,0.5628090081,48,1,1,6
1,1946,2,6,1,2,1,3,2,0.8249695911,42,1,1,14
1,1968,2,6,1,1,2,3,1,NA,25,2,1,11
1,1949,2,3,1,4,1,3,2,0.6414708419,55,3,1,3
1,1935,2,3,1,2,2,3,2,0.6616780999,29,1,1,8
2,1948,1,2,1,2,2,1,2,0.9329152449,17,5,1,10
2,1953,1,2,1,4,12,1,2,0.7156927779,36,5,1,9
1,1956,2,6,2,2,1,3,1,0.2016136571,20,1,1,7
2,1954,1,6,1,2,2,1,2,1.351190237,21,5,1,7
2,1945,2,2,1,4,1,3,2,1.2892927409,13,7,1,97
2,1956,2,3,1,4,1,8,2,1.0601626636,4,5,1,9
2,1982,2,3,1,4,1,8,2,1.1867924307,42,7,1,97
1,1947,2,6,1,2,11,3,2,0.5834526939,16,1,1,10
6,1967,2,6,1,1,2,3,1,0.9219005668,31,6,1,9
1,1964,2,4,3,1,2,3,1,0.4908140832,12,4,1,3
1,1987,2,4,1,2,9,2,1,NA,51,3,1,5
2,1952,1,2,1,4,2,1,2,0.778873168,22,7,1,6
1,1956,1,2,3,1,11,3,2,0.7925293254,9,4,1,3
6,1965,1,3,1,1,11,3,2,0.4857311849,36,4,2,1
6,1977,1,3,1,3,11,8,2,0.6333726557,47,8,1,11
1,1951,2,4,1,1,2,1,2,0.5888025111,39,1,1,4
1,1944,2,4,1,3,12,1,2,0.501086112,46,1,1,4
1,1993,1,4,1,2,11,3,1,NA,39,2,1,3
6,1977,1,2,1,4,2,NA,NA,0.662721985,24,6,1,1
2,1953,2,2,1,4,1,1,2,1.2247056988,19,7,1,8
1,1944,2,2,2,1,1,3,2,1.2183087028,42,1,1,97
1,1998,1,2,1,1,2,2,2,NA,36,2,1,9
1,1969,2,4,3,2,11,3,2,0.6963918496,12,2,1,2
1,1977,2,3,1,2,12,3,2,0.8589397021,53,3,1,16
2,1949,1,2,1,2,2,1,2,0.7477619323,13,7,1,5
1,1942,2,3,1,2,1,1,2,0.9495912983,26,3,1,97
6,2003,1,4,5,2,11,NA,NA,NA,36,7,1,1
2,1949,1,2,1,4,1,NA,NA,0.7156927779,36,7,1,5
1,1993,1,2,2,2,1,3,2,7.5127265931,6,2,3,97
2,1982,1,4,5,4,11,1,2,0.563329826,29,4,1,10
2,1952,1,5,1,4,2,1,2,0.8007132882,55,7,1,5
